Protein IDs	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	LFQ intensity L_1312	LFQ intensity L_1313	LFQ intensity L_1326	LFQ intensity L_1331	LFQ intensity L_1488	LFQ intensity L_1492	LFQ intensity L_1503	LFQ intensity L_1506	LFQ intensity P_1311	LFQ intensity P_1315	LFQ intensity P_1316	LFQ intensity P_1317	LFQ intensity P_1323	LFQ intensity P_1497	LFQ intensity P_1501	LFQ intensity P_1502	LFQ intensity P_1505	Only identified by site	Reverse	Potential contaminant	gene_name	alt_gene_names	bp_annotation	bp_annotation_id	cc_annotation	cc_annotation_id	kegg_annotation	kegg_annotation_id	mf_annotation	mf_annotation_id
NP_001231076.1	NP_001231076.1	translocon-associated protein subunit gamma [Sus scrofa]	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22663000	NA	NA	NA	SSR3	SSR3;NA;NA;NA;NA	SRP-dependent cotranslational protein targeting to membrane	GO:000661	endoplasmic reticulum membrane;integral component of membrane	GO:000578; GO:001602	 Protein processing in endoplasmic reticulum	hsa0414	"NA"	"NA"
NP_001231078.1;XP_020921748.1	NP_001231078.1;XP_020921748.1	COP9 signalosome complex subunit 3 [Sus scrofa]; COP9 signalosome complex subunit 3 isoform X1 [Sus scrofa]	5	5	5	33586000	30838000	31732000	38476000	39690000	31854000	36671000	32055000	36731000	27358000	29982000	25480000	33231000	35275000	38328000	40397000	31424000	NA	NA	NA	COPS3	COPS3;COPS3;NA;NA;NA	transcription-coupled nucleotide-excision repair;response to light stimulus;nucleotide-excision repair, DNA damage recognition;in utero embryonic development;protein deneddylation;signal transduction;ubiquitin-dependent protein catabolic process;post-translational protein modification	GO:000628; GO:000941; GO:000071; GO:000170; GO:000033; GO:000716; GO:000651; GO:004368	COP9 signalosome;cytoplasm;nucleoplasm;cytosol;nucleus	GO:000818; GO:000573; GO:000565; GO:000582; GO:000563	"NA"	"NA"	protein binding	GO:000551
XP_005667427.1;NP_001231079.1;XP_005667428.1	XP_005667427.1;NP_001231079.1;XP_005667428.1	transgelin isoform X1 [Sus scrofa]; transgelin [Sus scrofa]; transgelin isoform X2 [Sus scrofa]	13	13	13	123920000	87308000	200690000	187630000	109970000	144820000	78533000	61031000	93349000	231860000	203650000	118870000	166540000	196390000	101220000	144450000	197680000	NA	NA	NA	TAGLN	TAGLN;TAGLN;TAGLN;NA;NA	epithelial cell differentiation;muscle organ development	GO:003085; GO:000751	cytoplasm	GO:000573	"NA"	"NA"	protein binding;actin filament binding	GO:000551; GO:005101
NP_001231080.1;XP_020953706.1	NP_001231080.1;XP_020953706.1	26S protease regulatory subunit 4 [Sus scrofa]; 26S protease regulatory subunit 4 isoform X1 [Sus scrofa]	14	14	14	164570000	172990000	159220000	144130000	163380000	165850000	149400000	161890000	133100000	144740000	162800000	146900000	154950000	145910000	147230000	152190000	127890000	NA	NA	NA	PSMC1	PSMC1;PSMC1;NA;NA;NA	protein polyubiquitination;Fc-epsilon receptor signaling pathway;Wnt signaling pathway, planar cell polarity pathway;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent;anaphase-promoting complex-dependent catabolic process;interleukin-1-mediated signaling pathway;MAPK cascade;protein folding;post-translational protein modification;regulation of cellular amino acid metabolic process;negative regulation of G2/M transition of mitotic cell cycle;regulation of mitotic cell cycle phase transition;protein deubiquitination;regulation of transcription from RNA polymerase II promoter in response to hypoxia;positive regulation of canonical Wnt signaling pathway;T cell receptor signaling pathway;proteasome-mediated ubiquitin-dependent protein catabolic process;regulation of mRNA stability;transmembrane transport;negative regulation of canonical Wnt signaling pathway;stimulatory C-type lectin receptor signaling pathway;tumor necrosis factor-mediated signaling pathway;negative regulation of neuron death;NIK/NF-kappaB signaling;positive regulation of proteasomal protein catabolic process;regulation of hematopoietic stem cell differentiation	GO:000020; GO:003809; GO:006007; GO:000247; GO:003114; GO:007049; GO:000016; GO:000645; GO:004368; GO:000652; GO:001097; GO:190199; GO:001657; GO:006141; GO:009026; GO:005085; GO:004316; GO:004348; GO:005508; GO:009009; GO:000222; GO:003320; GO:190121; GO:003806; GO:190180; GO:190203	cytosol;proteasome regulatory particle, base subcomplex;membrane;nucleus;proteasome accessory complex;nucleoplasm;proteasome complex	GO:000582; GO:000854; GO:001602; GO:000563; GO:002262; GO:000565; GO:000050	 Viral carcinogenesis; Epstein-Barr virus infection; Proteasome	hsa0520; hsa0516; hsa0305	TBP-class protein binding;protein binding;ATP binding;ATPase activity;proteasome-activating ATPase activity;RNA binding	GO:001702; GO:000551; GO:000552; GO:001688; GO:003640; GO:000372
XP_020949053.1;NP_001231081.1;XP_020949056.1;XP_020949055.1;XP_020949054.1	XP_020949053.1;NP_001231081.1;XP_020949056.1;XP_020949055.1;XP_020949054.1	nuclear pore complex protein Nup93 isoform X1 [Sus scrofa]; nuclear pore complex protein Nup93 [Sus scrofa]; nuclear pore complex protein Nup93 isoform X2 [Sus scrofa]; nuclear pore complex protein Nup93 isoform X2 [Sus scrofa]; nuclear pore complex prote	4	4	4	9573200	8430300	10236000	8918400	11587000	9837600	9612800	11556000	0	9363300	7221700	8122700	0	0	0	8477300	0	NA	NA	NA	NUP93	NUP93;NUP93;NUP93;NUP93;NUP93	regulation of gene silencing by miRNA;regulation of glycolytic process;positive regulation of SMAD protein import into nucleus;regulation of cellular response to heat;mRNA export from nucleus;viral process;protein import into nucleus;viral transcription;intracellular transport of virus;nuclear pore complex assembly;renal system development;nuclear envelope organization;poly(A)+ mRNA export from nucleus;protein sumoylation	GO:006096; GO:000611; GO:006039; GO:190003; GO:000640; GO:001603; GO:000660; GO:001908; GO:007573; GO:005129; GO:007200; GO:000699; GO:001697; GO:001692	nuclear envelope;nuclear membrane;host cell;membrane;nuclear pore;nuclear periphery	GO:000563; GO:003196; GO:004365; GO:001602; GO:000564; GO:003439	 RNA transport	hsa0301	structural constituent of nuclear pore;protein binding	GO:001705; GO:000551
NP_001231082.1	NP_001231082.1	malate dehydrogenase, mitochondrial [Sus scrofa]	14	14	14	3363300000	4049700000	3581900000	4220100000	4424100000	3767800000	3583000000	4698700000	3067000000	3454900000	3777000000	2965400000	4468900000	3353000000	4547200000	3351300000	3352600000	NA	NA	NA	MDH2	MDH2;NA;NA;NA;NA	NADH metabolic process;oxaloacetate metabolic process;aerobic respiration;tricarboxylic acid cycle;internal protein amino acid acetylation	GO:000673; GO:000610; GO:000906; GO:000609; GO:000647	membrane;mitochondrion;nucleus;mitochondrial matrix;extracellular exosome	GO:001602; GO:000573; GO:000563; GO:000575; GO:007006	 Citrate cycle (TCA cycle); Cysteine and methionine metabolism; Glyoxylate and dicarboxylate metabolism; Carbon metabolism; Metabolic pathways; Biosynthesis of antibiotics; Pyruvate metabolism	hsa0002; hsa0027; hsa0063; hsa0120; hsa0110; hsa0113; hsa0062	malate dehydrogenase (NADP+) activity;RNA binding;protein self-association;L-malate dehydrogenase activity	GO:004655; GO:000372; GO:004362; GO:003006
NP_001231084.1;XP_005666833.1	NP_001231084.1;XP_005666833.1	lysosome membrane protein 2 precursor [Sus scrofa]; lysosome membrane protein 2 isoform X1 [Sus scrofa]	8	8	8	71115000	69175000	86514000	55770000	83153000	76058000	72567000	72185000	62527000	61824000	65587000	63214000	78498000	60141000	73757000	81093000	81175000	NA	NA	NA	SCARB2	SCARB2;SCARB2;NA;NA;NA	regulation of glucosylceramidase activity;positive regulation of neuron projection development;aminophospholipid transport;regulation of lysosome organization;receptor-mediated endocytosis;viral entry into host cell;regulation of cellular carbohydrate catabolic process;regulation of endosome organization;protein targeting to lysosome;membrane organization	GO:190512; GO:001097; GO:001591; GO:190567; GO:000689; GO:004671; GO:004347; GO:190497; GO:000662; GO:006102	Golgi membrane;membrane;endoplasmic reticulum membrane;endosome membrane;extracellular exosome;plasma membrane;lysosomal lumen;clathrin-coated vesicle membrane;focal adhesion;lysosomal membrane;late endosome membrane	GO:000013; GO:001602; GO:000578; GO:001000; GO:007006; GO:000588; GO:004320; GO:003066; GO:000592; GO:000576; GO:003190	 Lysosome	hsa0414	transmembrane signaling receptor activity;protein transporter activity;enzyme binding;chaperone binding;phosphatidylcholine binding;scavenger receptor activity;protein binding;phospholipid transporter activity;phosphatidylserine binding;cholesterol binding;protein homodimerization activity;virus receptor activity	GO:000488; GO:000856; GO:001989; GO:005108; GO:003121; GO:000504; GO:000551; GO:000554; GO:000178; GO:001548; GO:004280; GO:000161
NP_001231086.1	NP_001231086.1	peptidyl-prolyl cis-trans isomerase FKBP3 [Sus scrofa]	8	8	8	86386000	84356000	89408000	98024000	84338000	90460000	69443000	79101000	106560000	98720000	82767000	89188000	76970000	84011000	81660000	75057000	87365000	NA	NA	NA	FKBP3	FKBP3;NA;NA;NA;NA	protein peptidyl-prolyl isomerization	GO:000041	nucleus	GO:000563	"NA"	"NA"	FK506 binding;signaling receptor activity;protein binding;RNA binding;peptidyl-prolyl cis-trans isomerase activity	GO:000552; GO:003802; GO:000551; GO:000372; GO:000375
NP_001231089.1	NP_001231089.1	dehydrogenase/reductase SDR family member 7 [Sus scrofa]	8	8	8	23178000	17050000	15959000	37955000	20593000	31785000	33957000	36704000	44348000	49064000	51687000	75663000	45240000	47013000	37187000	45261000	50518000	NA	NA	NA	DHRS7	DHRS7;NA;NA;NA;NA	oxidation-reduction process	GO:005511	membrane	GO:001602	"NA"	"NA"	oxidoreductase activity	GO:001649
NP_001231090.1	NP_001231090.1	serpin B10 [Sus scrofa]	2	2	2	0	0	0	10610000	0	0	0	0	0	0	0	9246200	0	0	0	13268000	0	NA	NA	NA	SERPINB10	SERPINB10;NA;NA;NA;NA	neutrophil degranulation;negative regulation of endopeptidase activity	GO:004331; GO:001095	secretory granule membrane;ficolin-1-rich granule membrane;extracellular space;plasma membrane;nucleus	GO:003066; GO:010100; GO:000561; GO:000588; GO:000563	 Amoebiasis	hsa0514	serine-type endopeptidase inhibitor activity	GO:000486
NP_001231091.1;XP_020918345.1	NP_001231091.1;XP_020918345.1	sorbitol dehydrogenase [Sus scrofa]; sorbitol dehydrogenase isoform X1 [Sus scrofa]	18	18	18	8489800000	7863700000	8527100000	9314000000	8846200000	9216000000	8811200000	7923200000	8901000000	7678300000	8300200000	7483300000	9062100000	8280700000	9278300000	9178700000	6950000000	NA	NA	NA	SORD	SORD;SORD;NA;NA;NA	oxidation-reduction process;response to cadmium ion;L-xylitol metabolic process;sorbitol catabolic process;flagellated sperm motility;response to nutrient levels;response to drug;response to hormone;glucuronate catabolic process to xylulose 5-phosphate;fructose biosynthetic process;glucose metabolic process;response to osmotic stress	GO:005511; GO:004668; GO:005116; GO:000606; GO:003031; GO:003166; GO:004249; GO:000972; GO:001964; GO:004637; GO:000600; GO:000697	cytosol;mitochondrial membrane;membrane;extracellular space;motile cilium;extracellular exosome	GO:000582; GO:003196; GO:001602; GO:000561; GO:003151; GO:007006	 Pentose and glucuronate interconversions; Fructose and mannose metabolism; Metabolic pathways	hsa0004; hsa0005; hsa0110	zinc ion binding;NAD binding;carbohydrate binding;L-iditol 2-dehydrogenase activity;identical protein binding	GO:000827; GO:005128; GO:003024; GO:000393; GO:004280
XP_020919646.1;NP_001231092.1	XP_020919646.1;NP_001231092.1	dnaJ homolog subfamily A member 1 isoform X1 [Sus scrofa]; dnaJ homolog subfamily A member 1 [Sus scrofa]	9	9	9	81413000	73619000	79163000	72183000	80315000	73657000	69900000	80492000	74767000	74579000	73585000	69051000	76363000	79399000	83719000	70025000	76813000	NA	NA	NA	DNAJA1	DNAJA1;DNAJA1;NA;NA;NA	positive regulation of ATPase activity;positive regulation of apoptotic process;protein folding;flagellated sperm motility;androgen receptor signaling pathway;toxin transport;negative regulation of establishment of protein localization to mitochondrion;negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway;negative regulation of protein ubiquitination;regulation of protein transport;DNA damage response, detection of DNA damage;negative regulation of JUN kinase activity;response to unfolded protein;spermatogenesis;response to heat;protein localization to mitochondrion	GO:003278; GO:004306; GO:000645; GO:003031; GO:003052; GO:190199; GO:190374; GO:190525; GO:003139; GO:005122; GO:004276; GO:004350; GO:000698; GO:000728; GO:000940; GO:007058	mitochondrion;nucleus;perinuclear region of cytoplasm;ubiquitin ligase complex;extracellular exosome;cytosol;microtubule cytoskeleton;cytoplasmic side of endoplasmic reticulum membrane;membrane	GO:000573; GO:000563; GO:004847; GO:000015; GO:007006; GO:000582; GO:001563; GO:009855; GO:001602	 Protein processing in endoplasmic reticulum	hsa0414	chaperone binding;ATP binding;ubiquitin protein ligase binding;unfolded protein binding;metal ion binding;low-density lipoprotein particle receptor binding;protein binding;G-protein coupled receptor binding;ATPase activator activity;Hsp70 protein binding;Tat protein binding;C3HC4-type RING finger domain binding	GO:005108; GO:000552; GO:003162; GO:005108; GO:004687; GO:005075; GO:000551; GO:000166; GO:000167; GO:003054; GO:003095; GO:005513
NP_001231096.1;XP_020953649.1;NP_001231095.1;XP_020953648.1	NP_001231096.1;XP_020953649.1;NP_001231095.1;XP_020953648.1	mitochondrial carrier homolog 1 isoform 2 [Sus scrofa]; mitochondrial carrier homolog 1 isoform X2 [Sus scrofa]; mitochondrial carrier homolog 1 isoform 1 [Sus scrofa]; mitochondrial carrier homolog 1 isoform X1 [Sus scrofa]	3	3	3	56294000	41921000	0	51287000	0	49607000	51895000	52743000	57199000	0	0	0	50263000	0	47146000	0	0	NA	NA	NA	MTCH1	MTCH1;MTCH1;MTCH1;MTCH1;NA	apoptotic process;regulation of signal transduction;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of apoptotic process;neuronal ion channel clustering	GO:000691; GO:000996; GO:000691; GO:004306; GO:004516	mitochondrial inner membrane;integral component of membrane;mitochondrion	GO:000574; GO:001602; GO:000573	"NA"	"NA"	protein binding	GO:000551
NP_001231105.1;XP_020934189.1;XP_020934188.1;XP_020934187.1;XP_020934186.1;XP_020934185.1;XP_020934184.1	NP_001231105.1;XP_020934189.1;XP_020934188.1;XP_020934187.1;XP_020934186.1;XP_020934185.1;XP_020934184.1	MICOS complex subunit MIC19 [Sus scrofa]; MICOS complex subunit MIC19 isoform X6 [Sus scrofa]; MICOS complex subunit MIC19 isoform X5 [Sus scrofa]; MICOS complex subunit MIC19 isoform X4 [Sus scrofa]; MICOS complex subunit MIC19 isoform X3 [Sus scrofa]; M	6	6	6	46201000	61920000	54396000	48671000	44341000	52879000	52233000	50507000	58507000	44698000	49789000	40202000	49428000	33457000	53469000	49710000	46638000	NA	NA	NA	CHCHD3	CHCHD3;CHCHD3;CHCHD3;CHCHD3;CHCHD3	negative regulation of transcription from RNA polymerase II promoter;inner mitochondrial membrane organization;mitochondrial fusion;cristae formation	GO:000012; GO:000700; GO:000805; GO:004240	nucleus;cytoplasm;mitochondrial inner membrane;extracellular exosome;MICOS complex	GO:000563; GO:000573; GO:000574; GO:007006; GO:006161	"NA"	"NA"	phosphatase binding;protein complex scaffold;protein binding;transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding	GO:001990; GO:003294; GO:000551; GO:000122
NP_001231109.1	NP_001231109.1	T-complex protein 1 subunit gamma [Sus scrofa]	21	21	21	702820000	726090000	683130000	738660000	805590000	667970000	730060000	755160000	606510000	629550000	624360000	506510000	615940000	602140000	636640000	706330000	568360000	NA	NA	NA	CCT3	CCT3;NA;NA;NA;NA	positive regulation of telomere maintenance via telomerase;protein folding;protein stabilization;pore complex assembly;positive regulation of establishment of protein localization to telomere;toxin transport;positive regulation of protein localization to Cajal body;binding of sperm to zona pellucida	GO:003221; GO:000645; GO:005082; GO:004693; GO:190485; GO:190199; GO:190487; GO:000733	chaperonin-containing T-complex;cell body;zona pellucida receptor complex;cytosol;cytoskeleton;extracellular exosome;plasma membrane;microtubule	GO:000583; GO:004429; GO:000219; GO:000582; GO:000585; GO:007006; GO:000588; GO:000587	"NA"	"NA"	ATP binding;unfolded protein binding;RNA binding;protein binding	GO:000552; GO:005108; GO:000372; GO:000551
XP_005656340.1;NP_001231113.1	XP_005656340.1;NP_001231113.1	reticulocalbin-2 isoform X2 [Sus scrofa]; reticulocalbin-2 precursor [Sus scrofa]	7	7	1	20564000	20029000	19726000	18599000	19722000	21511000	23917000	22045000	21507000	16312000	14723000	18606000	18986000	20807000	17259000	20409000	21397000	NA	NA	NA	RCN2	RCN2;RCN2;NA;NA;NA	"NA"	"NA"	endoplasmic reticulum;endoplasmic reticulum lumen;nucleolus	GO:000578; GO:000578; GO:000573	"NA"	"NA"	protein binding;calcium ion binding	GO:000551; GO:000550
NP_001231114.1;XP_005654424.1;XP_020945010.1	NP_001231114.1;XP_005654424.1;XP_020945010.1	peroxisomal biogenesis factor 3 [Sus scrofa]; peroxisomal biogenesis factor 3 isoform X2 [Sus scrofa]; peroxisomal biogenesis factor 3 isoform X1 [Sus scrofa]	5	5	5	9740900	10736000	0	7450400	9017200	9104300	0	10049000	9581100	9376700	10918000	0	7723400	0	9193300	0	0	NA	NA	NA	PEX3	PEX3;PEX3;PEX3;NA;NA	peroxisome organization;protein import into peroxisome membrane;peroxisome membrane biogenesis;transmembrane transport	GO:000703; GO:004504; GO:001655; GO:005508	macromolecular complex;membrane;nucleoplasm;cytosol;endoplasmic reticulum;peroxisome;protein-lipid complex	GO:003299; GO:001602; GO:000565; GO:000582; GO:000578; GO:000577; GO:003299	 Peroxisome	hsa0414	protein binding, bridging;protein binding;protein dimerization activity;lipid binding	GO:003067; GO:000551; GO:004698; GO:000828
XP_020941390.1;XP_020941389.1;XP_020941388.1;XP_013851820.1;XP_005662826.1;NP_001231136.1	XP_020941390.1;XP_020941389.1;XP_020941388.1;XP_013851820.1;XP_005662826.1;NP_001231136.1	protein TSSC1 isoform X4 [Sus scrofa]; protein TSSC1 isoform X4 [Sus scrofa]; protein TSSC1 isoform X3 [Sus scrofa]; protein TSSC1 isoform X2 [Sus scrofa]; protein TSSC1 isoform X1 [Sus scrofa]; protein TSSC1 [Sus scrofa]	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10316000	0	NA	NA	NA	EIPR1	EIPR1;EIPR1;EIPR1;EIPR1;EIPR1	protein ubiquitination;positive regulation of retrograde transport, endosome to Golgi;positive regulation of endocytic recycling	GO:001656; GO:190528; GO:200113	EARP complex;GARP complex;trans-Golgi network	GO:199074; GO:000093; GO:000580	"NA"	"NA"	"NA"	"NA"
XP_003125211.1;NP_001231139.1;NP_001231138.1	XP_003125211.1;NP_001231139.1;NP_001231138.1	calmodulin [Sus scrofa]; calmodulin [Sus scrofa]; calmodulin [Sus scrofa]	9	9	9	1086200000	1088100000	1169400000	1188400000	1206900000	1087300000	1240500000	1079300000	1105900000	1049800000	930520000	920230000	1070600000	1165100000	1103600000	1194100000	1113500000	NA	NA	NA	CALM2	CALM2;CALM1;CALM3;NA;NA	positive regulation of DNA binding;positive regulation of cyclic-nucleotide phosphodiesterase activity;positive regulation of peptidyl-threonine phosphorylation;positive regulation of protein serine/threonine kinase activity;positive regulation by host of symbiont cAMP-mediated signal transduction;regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum;response to calcium ion;regulation of cytokinesis;G2/M transition of mitotic cell cycle;positive regulation of phosphoprotein phosphatase activity;positive regulation of protein dephosphorylation;negative regulation of ryanodine-sensitive calcium-release channel activity;regulation of heart rate;positive regulation of protein autophosphorylation;regulation of cell communication by electrical coupling involved in cardiac conduction;detection of calcium ion;G-protein coupled receptor signaling pathway;substantia nigra development;regulation of cardiac muscle contraction	GO:004338; GO:005134; GO:001080; GO:007190; GO:007520; GO:001088; GO:005159; GO:003246; GO:000008; GO:003251; GO:003530; GO:006031; GO:000202; GO:003195; GO:190184; GO:000551; GO:000718; GO:002176; GO:005511	plasma membrane;nucleus;cytoplasm;vesicle;catalytic complex;myelin sheath;spindle pole;centrosome;spindle microtubule;voltage-gated potassium channel complex;sarcomere;macromolecular complex;calcium channel complex	GO:000588; GO:000563; GO:000573; GO:003198; GO:190249; GO:004320; GO:000092; GO:000581; GO:000587; GO:000807; GO:003001; GO:003299; GO:003470	 Calcium signaling pathway; cGMP-PKG signaling pathway; Phosphatidylinositol signaling system; Aldosterone synthesis and secretion; Pertussis; Oocyte meiosis; Olfactory transduction; Salivary secretion; Alzheimer's disease; Alcoholism; Glioma; Adrenergic signaling in cardiomyocytes; Neurotrophin signaling pathway; Inflammatory mediator regulation of TRP channels; GnRH signaling pathway; Tuberculosis; Rap1 signaling pathway; Circadian entrainment; Vascular smooth muscle contraction	hsa0402; hsa0402; hsa0407; hsa0492; hsa0513; hsa0411; hsa0474; hsa0497; hsa0501; hsa0503; hsa0521; hsa0426; hsa0472; hsa0475; hsa0491; hsa0515; hsa0401; hsa0471; hsa0427	adenylate cyclase binding;calcium channel inhibitor activity;ion channel binding;calcium ion binding;N-terminal myristoylation domain binding;protein serine/threonine kinase activator activity;adenylate cyclase activator activity;titin binding;protein kinase binding;protein phosphatase activator activity;protein binding;disordered domain specific binding	GO:000817; GO:001985; GO:004432; GO:000550; GO:003199; GO:004353; GO:001085; GO:003143; GO:001990; GO:007254; GO:000551; GO:009771
NP_001231142.1;XP_013847326.1	NP_001231142.1;XP_013847326.1	ADP-ribosylation factor-like protein 6-interacting protein 1 [Sus scrofa]; ADP-ribosylation factor-like protein 6-interacting protein 1 isoform X1 [Sus scrofa]	2	2	2	53045000	68808000	52064000	47780000	61576000	62413000	39519000	62666000	54174000	69323000	64413000	93813000	51074000	54160000	47823000	43234000	36572000	NA	NA	NA	ARL6IP1	ARL6IP1;ARL6IP1;NA;NA;NA	cotranslational protein targeting to membrane;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;endoplasmic reticulum tubular network formation;negative regulation of apoptotic process;positive regulation of L-glutamate transport;apoptotic process;endoplasmic reticulum tubular network membrane organization	GO:000661; GO:004315; GO:007178; GO:004306; GO:000203; GO:000691; GO:199080	Sec61 translocon complex;endoplasmic reticulum membrane;integral component of membrane;cytosol;integral component of endoplasmic reticulum membrane	GO:000578; GO:000578; GO:001602; GO:000582; GO:003017	"NA"	"NA"	protein binding;identical protein binding	GO:000551; GO:004280
NP_001231145.1;XP_020938480.1;XP_003122575.1;XP_020938479.1	NP_001231145.1	sorting nexin-6 [Sus scrofa]	9	9	9	78836000	64248000	69956000	67097000	75153000	61597000	63586000	67026000	63988000	69467000	62753000	62168000	71479000	51109000	61190000	65731000	58315000	NA	NA	NA	SNX6	SNX6;NA;NA;NA;NA	intracellular protein transport;negative regulation of transcription, DNA-templated;negative regulation of neuron apoptotic process;negative regulation of transforming growth factor beta receptor signaling pathway;retrograde transport, endosome to Golgi;regulation of histamine secretion by mast cell;negative regulation of epidermal growth factor-activated receptor activity;cellular response to beta-amyloid;regulation of macroautophagy	GO:000688; GO:004589; GO:004352; GO:003051; GO:004214; GO:190359; GO:000717; GO:190464; GO:001624	cytosol;nucleus;early endosome membrane;tubular endosome;retromer complex;cytoplasm	GO:000582; GO:000563; GO:003190; GO:009742; GO:003090; GO:000573	 Endocytosis	hsa0414	phosphatidylinositol binding;protein binding;protein heterodimerization activity;dynactin binding;protein homodimerization activity	GO:003509; GO:000551; GO:004698; GO:003445; GO:004280
XP_020953766.1;XP_020953765.1;NP_001231148.1;XP_020953767.1;XP_020953769.1;XP_020953768.1	XP_020953766.1;XP_020953765.1;NP_001231148.1;XP_020953767.1;XP_020953769.1;XP_020953768.1	urocanate hydratase isoform X1 [Sus scrofa]; urocanate hydratase isoform X1 [Sus scrofa]; urocanate hydratase [Sus scrofa]; urocanate hydratase isoform X2 [Sus scrofa]; urocanate hydratase isoform X3 [Sus scrofa]; urocanate hydratase isoform X3 [Sus scrof	24	24	24	1116500000	1159300000	1183100000	1131700000	1048800000	1175000000	1310900000	1167100000	1485500000	1232700000	1255000000	1440900000	1413300000	1635100000	1360900000	1269000000	1282000000	NA	NA	NA	UROC1	UROC1;UROC1;UROC1;UROC1;UROC1	histidine catabolic process to glutamate and formamide;histidine catabolic process;histidine catabolic process to glutamate and formate	GO:001955; GO:000654; GO:001955	cytosol	GO:000582	 Histidine metabolism; Metabolic pathways	hsa0034; hsa0110	urocanate hydratase activity	GO:001615
NP_001231150.1;XP_020935524.1	NP_001231150.1	RNA-binding protein 14 [Sus scrofa]	10	10	10	123920000	110630000	126090000	121750000	123170000	134460000	128660000	119390000	123900000	107690000	121490000	102320000	126490000	112600000	119150000	112980000	121840000	NA	NA	NA	RBM14	RBM14;NA;NA;NA;NA	centriole assembly;DNA repair;glucocorticoid receptor signaling pathway;positive regulation of transcription from RNA polymerase II promoter;DNA replication;histone deacetylation;negative regulation of centriole replication;SMAD protein signal transduction;DNA recombination;intracellular estrogen receptor signaling pathway;response to hormone;innate immune response;activation of innate immune response	GO:009853; GO:000628; GO:004292; GO:004594; GO:000626; GO:001657; GO:004660; GO:006039; GO:000631; GO:003052; GO:000972; GO:004508; GO:000221	ribonucleoprotein complex;nucleoplasm;transcription factor complex;mediator complex;nucleolus;nuclear speck;nucleus	GO:199090; GO:000565; GO:000566; GO:001659; GO:000573; GO:001660; GO:000563	"NA"	"NA"	protein binding, bridging;RNA binding;transcription cofactor activity;ligand-dependent nuclear receptor transcription coactivator activity;protein binding	GO:003067; GO:000372; GO:000371; GO:003037; GO:000551
NP_001231154.1	NP_001231154.1	eukaryotic translation initiation factor 4E-binding protein 1 [Sus scrofa]	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2146600	0	0	0	NA	NA	NA	EIF4EBP1	EIF4EBP1;NA;NA;NA;NA	G1/S transition of mitotic cell cycle;negative regulation of translational initiation;lung development;response to ischemia;negative regulation of protein complex assembly;insulin receptor signaling pathway;TOR signaling;cellular response to hypoxia;cellular response to dexamethasone stimulus;response to amino acid starvation;response to ethanol;IRES-dependent translational initiation;positive regulation of mitotic cell cycle	GO:000008; GO:004594; GO:003032; GO:000293; GO:003133; GO:000828; GO:003192; GO:007145; GO:007154; GO:199092; GO:004547; GO:000219; GO:004593	cytosol;nucleus;cytoplasm;glutamatergic synapse;postsynaptic cytosol;macromolecular complex	GO:000582; GO:000563; GO:000573; GO:009897; GO:009952; GO:003299	 Acute myeloid leukemia; PI3K-Akt signaling pathway; Choline metabolism in cancer; ErbB signaling pathway; Insulin signaling pathway; RNA transport; HIF-1 signaling pathway	hsa0522; hsa0415; hsa0523; hsa0401; hsa0491; hsa0301; hsa0406	eukaryotic initiation factor 4E binding;translation repressor activity;protein phosphatase 2A binding;protein binding	GO:000819; GO:003037; GO:005172; GO:000551
NP_001231160.1	NP_001231160.1	pinin [Sus scrofa]	3	3	3	15641000	0	10680000	9142300	10759000	0	9502200	9424200	10532000	11088000	9748000	0	0	8514200	10209000	0	9744400	NA	NA	NA	PNN	PNN;NA;NA;NA;NA	mRNA splicing, via spliceosome;cell adhesion	GO:000039; GO:000715	intermediate filament;exon-exon junction complex;plasma membrane;nuclear speck;cell-cell junction;desmosome;membrane;catalytic step 2 spliceosome	GO:000588; GO:003514; GO:000588; GO:001660; GO:000591; GO:003005; GO:001602; GO:007101	 RNA transport; mRNA surveillance pathway	hsa0301; hsa0301	DNA binding;protein binding;RNA binding;structural molecule activity	GO:000367; GO:000551; GO:000372; GO:000519
